State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8427270676985867	0.0614753463194458	6.526809472425736E-6	9.906501573483082E-4	1.6000726583036628E-4	3.1477540773970603E-4	0.008092869819907172	0.07915334049887114	0.006580615752736444	4.98800270061916E-4
2	0.05107976963577876	0.7193029974711097	0.12519286185506817	0.010198606459794037	0.004691434524677866	0.010611701304839698	0.07760483013257752	0.0013176609421712737	1.4083126195479706E-8	1.2359085672885268E-7
3	0.0	0.06613697070969747	0.6797745375056752	0.21546644196310488	0.00941729201358476	0.016298213391275337	0.012819408611843233	0.0	8.713580481914466E-5	0.0
4	5.934890275209966E-5	8.974568852757584E-4	0.035064111557693005	0.9491127829361944	0.00270849523821918	0.00513295541791879	0.007012408309319624	1.2440752627082284E-5	0.0	0.0
5	1.7263179425174829E-6	6.914078407125683E-5	2.611150721945843E-4	4.5788759294848E-4	0.9985739125011293	6.200336739060633E-4	1.5629379394486715E-8	1.294801353928219E-6	7.522837429002953E-6	7.350789645489659E-6
6	9.940435722345413E-6	3.584501873458889E-4	0.001126228657546347	0.002036776099878436	0.001452544432202293	0.9846924883356594	0.00763114814593343	1.6892991334869015E-5	2.3205778414886808E-4	0.0024434729302281223
7	0.003675929960490653	0.03746060396066515	0.01241908654874422	0.03957615257620439	2.3245739044387804E-6	0.11320130505951886	0.7553659560112563	0.009578478140203562	8.57799868956293E-4	0.02786236330005622
8	0.06837027572061002	0.0010205685773044962	3.564661345856076E-5	3.7003886654810806E-4	1.7215240125184985E-4	1.784077075960608E-4	0.0210454842238809	0.7399349299925395	0.1593158203884528	0.00955667550835775
9	0.0019943789184749946	1.891169670642522E-5	6.180495457470173E-5	8.891942788419607E-7	1.607978676378161E-4	0.0024923253786851207	4.0211935846234904E-4	0.05533092485576327	0.9099385484537545	0.02959929932166204
10	4.4031337339680975E-5	0.0	0.0	0.0	5.825339108288734E-5	0.009441849434154527	0.007341882491987292	0.0011557912409130844	0.009971107458150167	0.9719870846463722
